,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
291,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,Government of Haiti (2011-),Haiti,6932838,2019-12-10,HTI379,379,Violence against civilians,0,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 10 December 2019 in Port-au-Prince, four armed men attacked the residence of a counselor to the president. His daughter and doorman both suffered gunshot wounds. The attackers also ransacked the house.",Caribbean,CiberCuba,Regional,Attack,1,1582839800,2019
292,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Yabucoa,,,,,Puerto Rico,6945314,2019-12-09,PRT209,209,Violence against civilians,0,1,3,7,37,630,PRI,18.0505,Yabucoa,-65.8793,"On 09 December 2019 in Yabucoa, a man was shot and injured in a drive-by shooting.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840209,2019
293,Protesters (Martinique),,Fort-de-France,Fort-de-France,,Labour Group (Martinique); FO: Force Ouvriere,,Martinique,6946595,2019-12-09,MTQ14,14,Protests,0,1,6,0,60,474,MTQ,14.6037,Fort-de-France,-61.0742,"On 09 December 2019 in Fort-de-France, members of the FO: Force Ouvriere union protested against pension reform by blocking the headquarters of the General Social Security Fund. [size=no report]",Caribbean,France Info,International,Peaceful protest,1,1582840214,2019
294,Protesters (Cuba),,Granma,Bayamo,,Students (Cuba),,Cuba,6932825,2019-12-08,CUB25,25,Protests,0,1,6,0,60,192,CUB,20.3742,Bayamo,-76.6436,"On 08 December 2019 in Bayamo, Granma, students protested against bad quality drinking water, throwing buckets of water from balconies at the university. [size=no report]",Caribbean,CiberCuba,National,Peaceful protest,1,1582839800,2019
295,Unidentified Gang (Haiti),Police Forces of Haiti (2011-),Ouest,Croix-des-Bouquets,Ganthier,,,Haiti,6958461,2019-12-08,HTI378,378,Battles,1,1,3,1,13,332,HTI,18.5071,Fonds Parisien,-71.9773,"On 07 or 08 December 2019 in Fond-Parisien, one person died and several others were injured in a police operation during the weekend to dismantle a smuggler gang, where they also arrested at least 10 people.",Caribbean,Le Nouvelliste,National,Armed clash,2,1582840328,2019
296,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Nord,Cap-Haitien,Cap-Haitien,,,Haiti,6958473,2019-12-08,HTI377,377,Battles,1,1,3,1,13,332,HTI,19.7594,Cap-Haitien,-72.1982,"On 08 December 2019 in Cap-Haitien, a policeman was shot and killed by unidentified armed attackers while he was driving back from a police operation downtown.",Caribbean,Le Nouvelliste,National,Armed clash,1,1582840328,2019
297,Unidentified Gang (Jamaica),Civilians (Jamaica),Saint Catherine,,,,,Jamaica,6958793,2019-12-08,JAM141,141,Violence against civilians,4,2,3,7,37,388,JAM,17.9911,Spanish Town,-76.9574,"On 08 December 2019 in Kitson Town outside Spanish Town, eight people were shot, four of them fatally, when unidentified gunmen shot at people in a shop and in a bar. The National Security Minister suggested these were gang activities.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
298,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Caguas,,,,,Puerto Rico,6941219,2019-12-07,PRT208,208,Violence against civilians,1,1,3,7,37,630,PRI,18.2341,Caguas,-66.0485,"On 07 December 2019 in Caguas, a man was shot and killed, another shot and injured in a drive-by shooting. The men were driving in a car together when they were shot several times from another car.",Caribbean,El Nuevo Dia (Puerto Rico),National,Attack,1,1582839952,2019
299,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Siparia,,,,,Trinidad and Tobago,6969635,2019-12-06,TTQ172,172,Violence against civilians,1,1,3,7,37,780,TTO,10.0935,Palo Seco,-61.5892,"On 06 December 2019 in Palo Seco, a man was shot and killed by three men outside his home.",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1582840377,2019
300,Protesters (Sint Maarten),,Sint Maarten,,,Health Workers (Sint Maarten); Labour Group (Sint Maarten),,Sint Maarten,6995277,2019-12-06,SXM3,3,Protests,0,1,6,0,60,534,SXM,18.0260,Philipsburg,-63.0458,"On 06 December 2019 in Philipsburg, firefighters and ambulance personnel staged a protest at the Salt Pickers roundabout, blocking traffic and sounding the sirens from their emergency vehicles. They then went to the Government Administration Building to discuss the issue of relocation of staff. [size=no report]",Caribbean,SXM Talks,Regional,Peaceful protest,1,1584465212,2019
301,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958515,2019-12-06,HTI376,376,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 06 December 2019 in Port-au-Prince, over a hundred protesters marched from the airport towards the US embassy, demanding the president_ resignation as a high-level US representative was visiting. [size=over a hundred]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
302,Protesters (Guadeloupe),,Pointe-a-Pitre,Pointe-a-Pitre,,Labour Group (Guadeloupe),,Guadeloupe,6946574,2019-12-05,GLP9,9,Protests,0,1,6,0,60,312,GLP,16.2413,Pointe-a-Pitre,-61.5361,"On 05 December 2019 in Pointe-a-Pitre, numerous protesters gathered by the city hall at the call of the unions, and marched through the city protesting pension reform. [size=no report]",Caribbean,France Info,International,Peaceful protest,1,1582840214,2019
303,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6985233,2019-12-05,HTI565,565,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 5 December 2019, in Port-au-Prince, dozens of people gathered in front of the French Embassy to denounce the embassy's cooperation and support for the current government that they consider corrupted. [size=dozens]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
304,Protesters (Martinique),,Fort-de-France,Fort-de-France,,Labour Group (Martinique),,Martinique,6946600,2019-12-05,MTQ13,13,Protests,0,1,6,0,60,474,MTQ,14.6037,Fort-de-France,-61.0742,"On 05 December 2019 in Fort-de-France, about 5000 people, at the call of all the main unions, protested against the pension reform proposed by the French government. [size=about 5000]",Caribbean,France Info,International,Peaceful protest,1,1582840214,2019
305,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint Mary,,,,Women (Jamaica),Jamaica,6958903,2019-12-05,JAM140,140,Violence against civilians,1,1,3,7,37,388,JAM,18.3685,Port Maria,-76.8895,"On 05 December 2019 in Corner Pond, Port Maria, St Mary, a woman was shot dead by two gunmen who ambushed her on the street.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
306,Protesters (Haiti),,Artibonite,Gonaives,Gonaives,,,Haiti,6958399,2019-12-05,HTI375,375,Protests,0,1,6,0,60,332,HTI,19.4475,Gonaives,-72.6890,"On 05 December 2019, in Gonaives, thousands of people protested, demanding the unconditional resignation of the president. [size=thousands]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
307,Protesters (Dominica),,Saint George,,,,,Dominica,6936403,2019-12-05,DMA16,16,Protests,0,1,6,0,60,212,DMA,15.3017,Roseau,-61.3881,"On 05 December 2019 in Canefield outside Roseau, the highway was blocked by protesters who expressing their dissatisfaction over the non-implementation of electoral reform. [size=no report]",Caribbean,Dominica News,National,Peaceful protest,1,1582839937,2019
308,Protesters (Cuba),,Habana,Habana,,Women (Cuba); Students (Cuba),,Cuba,6932826,2019-12-05,CUB24,24,Protests,0,1,6,0,60,192,CUB,23.1330,Habana,-82.3830,"On 05 December 2019 in Habana, a group of about 30 women and students protested at a university against violence against women, performing the _ rapist in your path_choreography. [size=about 30]",Caribbean,CiberCuba,National,Peaceful protest,1,1582839800,2019
309,Rioters (Dominica),Police Forces of Dominica (2000-),Saint Joseph,,,Rioters (Haiti),Military Forces of Barbados (2018-),Dominica,6925921,2019-12-05,DMA17,17,Riots,0,1,5,1,15,212,DMA,15.4369,Salisbury,-61.4364,"On 05 December 2019 in Salisbury, during demonstrations for electoral reform where demonstrators put up barricades, two people were shot and injured as police fired at a crowd of demonstrators. One of those injured was a 14-year-old Haitian boy. Police, accompanied by special forces from Barbados, also sprayed teargas at demonstrators throughout the village. [size=no report]",Caribbean,France Info; Dominica News,National-International,Violent demonstration,1,1582839777,2019
310,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Chaguanas,,,,Women (Trinidad and Tobago),Trinidad and Tobago,6962557,2019-12-05,TTQ171,171,Violence against civilians,1,1,3,7,37,780,TTO,10.5147,Chaguanas,-61.4076,"On 05 December 2019 in Cunupia, outside Chaguanas, an unidentified woman was found dead, with several gunshot wounds to her head and face, her hands bound with plastic tie straps.",Caribbean,Newsday Trinidad and Tobago,National,Attack,2,1582840340,2019
311,Protesters (Dominica),,Saint Andrew,,,Teachers (Dominica),,Dominica,6968751,2019-12-05,DMA15,15,Protests,0,1,6,0,60,212,DMA,15.5389,Marigot,-61.2838,"On 05 December 2019 in Marigot, about 150 protesters, mostly teachers, marched in solidarity with the national protest over the French proposed pension reform. In addition, many more teachers and school employees are reported to have been on strike from work. [size=about 150]",Caribbean,SXM Talks,Regional,Peaceful protest,1,1582840374,2019
312,Protesters (Antigua and Barbuda),,Saint John,,,Labour Group (Antigua and Barbuda),,Antigua and Barbuda,6930992,2019-12-04,ATG9,9,Protests,0,1,6,0,60,28,ATG,17.1210,Saint John's,-61.8433,"On 04 December 2019 in St John_, former employees of a closed down supermarket picketed outside another one of the supermarket owner_ businesses, demanding their overdue payments. [size=no report]",Caribbean,Antigua Observer,Regional,Peaceful protest,1,1582839794,2019
313,Unidentified Armed Group (Trinidad and Tobago),Rioters (Trinidad and Tobago),Port of Spain,,,Military Forces of Trinidad and Tobago (2015-),,Trinidad and Tobago,6958925,2019-12-04,TTQ170,170,Riots,0,1,3,5,35,780,TTO,10.6667,Port of Spain,-61.5189,"On 04 December 2019 in San Juan, Port of Spain, two groups of men got into a fight at a night club, one of the men was a soldier and fired shots at the other group. He has been arrested and charged. [size=no report]",Caribbean,Loop News Trinidad and Tobago,National,Mob violence,1,1582840329,2019
314,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Vega Baja,,,,,Puerto Rico,6945362,2019-12-04,PRT207,207,Violence against civilians,0,1,3,7,37,630,PRI,18.4444,Vega Baja,-66.3877,"On 04 December 2019 in Vega Baja, a man was shot and injured in a drive-by shooting while he was driving on the highway.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840210,2019
315,Rioters (Dominica),,Saint Andrew,,,,,Dominica,6925920,2019-12-04,DMA14,14,Riots,0,1,5,0,50,212,DMA,15.5389,Marigot,-61.2838,"On 04 December 2019 in Marigot, demonstrators demanded electoral reforms to ensure free and fair elections. They blocked roads with burning debris, blocking access to the university and the main airport. [size=no report]",Caribbean,Dominica News; AP,National-International,Violent demonstration,1,1582839777,2019
316,Protesters (Haiti),,Artibonite,Gonaives,Gonaives,,,Haiti,6958446,2019-12-04,HTI374,374,Protests,0,1,6,0,60,332,HTI,19.4475,Gonaives,-72.6890,"On 04 December 2019 in Gonaives, some hundred protesters marched, demanding peace to be restored, and schools and businesses to reopen. [size=100]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2019
317,Rioters (Dominica),Police Forces of Dominica (2000-),Saint Andrew,,,,,Dominica,6936400,2019-12-03,DMA13,13,Riots,0,1,5,1,15,212,DMA,15.5389,Marigot,-61.2838,"On 03 December 2019 in Marigot, demonstrators demanded electoral reform before the December 6 elections. Residents in the area blocked roads and burnt tires, with reports of police setting up barricades, firing teargas and bullets at demonstrators. [size=no report]",Caribbean,Dominica News,National,Violent demonstration,1,1582839937,2019
318,Unidentified Gang (Haiti),Unidentified Gang (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958675,2019-12-02,HTI373,373,Battles,0,1,3,3,33,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 2 December 2019 in Port-au-Prince, there was a shootout between rival gangs in the Carrefour-Feuille area. One projectile hit a woman in the face as she was praying in a church. She was not fatally injured.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
319,Unidentified Gang (Trinidad and Tobago),Unidentified Gang (Trinidad and Tobago),Diego Martin,,,,,Trinidad and Tobago,6969564,2019-12-02,TTQ169,169,Battles,0,1,3,3,33,780,TTO,10.6887,Carenage,-61.5930,"On 02 December 2019 in Carenage, there was a clash between two rival gangs, one man was brutally attacked, he then returned in a vehicle accompanied by more people, and fired a weapon from the car, injuring three people. This was during local government elections, reports say some villagers were hindered from voting due to these incidents.",Caribbean,Trinidad and Tobago Guardian,National,Armed clash,1,1582840377,2019
320,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Ponce,,,,,Puerto Rico,6945280,2019-12-01,PRT206,206,Violence against civilians,0,1,3,7,37,630,PRI,18.0111,Ponce,-66.6141,"On 01 December 2019 in Ponce, a man was shot and injured by three men who approached him on the highway after his car stopped.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840209,2019
321,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,Former Police Forces of Haiti (2011-),Haiti,6958530,2019-12-01,HTI372,372,Violence against civilians,1,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 1 December 2019 in Port-au-Prince, the former director of the judicial police was shot and killed near his home by unidentified persons on a motorbike. He had survived a gun attack in 2017.",Caribbean,Le Nouvelliste,National,Attack,1,1582840328,2019
322,Protesters (Haiti),,Ouest,Port-au-Prince,Petion-Ville,,,Haiti,6958340,2019-11-30,HTI371,371,Protests,0,1,6,0,60,332,HTI,18.5125,Petion-Ville,-72.2853,"On 30 November 2019 in Petion-Ville, several hundred protesters, organized by the Toya foundation, marched against violence against women. [size=several hundred]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840327,2019
323,Unidentified Armed Group (Trinidad and Tobago),Police Forces of Trinidad and Tobago (2015-),Tunapuna/Piarco,,,,,Trinidad and Tobago,6958927,2019-11-30,TTQ168,168,Battles,1,1,3,1,13,780,TTO,10.6437,Tacarigua,-61.3612,"On 30 November 2019 in Tacarigua, there was a shoot-out where three men in a car fired at a police car. The police fired back, and when the men left the car, police shot and killed one of them, and detained the two others.",Caribbean,Loop News Trinidad and Tobago,National,Armed clash,1,1582840329,2019
324,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Anasco,,,,,Puerto Rico,6945372,2019-11-30,PRT205,205,Violence against civilians,0,1,3,7,37,630,PRI,18.2827,Anasco,-67.1396,"On 30 November 2019 in Anasco, a man and a woman were shot and injured while driving on the highway, by people in another car blinking their lights and pulling up beside them.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840210,2019
325,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint James,,,,,Jamaica,6958841,2019-11-30,JAM139,139,Violence against civilians,2,2,3,7,37,388,JAM,18.4712,Montego Bay,-77.9188,"On 30 November 2019 in Spot Valley, outside Montego Bay in St James, two men were killed and three others injured as two men came out of a car and fired guns at them.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
326,Ti Hougan Gang,Ti Hougan Gang,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958721,2019-11-29,HTI370,370,Battles,1,1,3,3,33,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 29 November 2019 in Cite Soleil, Port-au-Prince, the main gang leader of the Boston neighborhood was shot and killed, reportedly by members of his own gang Ti Hougan.",Caribbean,Loop News Haiti,National,Armed clash,1,1582840328,2019
327,Police Forces of Haiti (2011-),Unidentified Armed Group (Haiti),Sud-Est,Jacmel,Jacmel,,Government of Haiti (2011-),Haiti,6958528,2019-11-29,HTI369,369,Strategic developments,0,1,1,3,13,332,HTI,18.2343,Jacmel,-72.5354,"On 29 November 2019 in Jacmel, a former MP was arrested, together with 7 others, with firearms, grenades, ammunition, a gas mask and communication equipment. He is charged with threats to state security and to the American embassy and other buildings.",Caribbean,Le Nouvelliste,National,Disrupted weapons use,1,1582840328,2019
328,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Arima,,,,,Trinidad and Tobago,6969594,2019-11-29,TTQ167,167,Violence against civilians,1,1,3,7,37,780,TTO,10.6374,Arima,-61.2823,"On 29 November 2019 in Arima, a man was shot and killed by two gunmen as he was standing outside a house.",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1582840377,2019
329,Protesters (Bahamas),,New Providence,,,Labour Group (Bahamas); BHCAWU: Bahamas Hotel Catering and Allied Workers Union,,Bahamas,6969206,2019-11-28,BHS8,8,Protests,0,1,6,0,60,44,BHS,25.0582,Nassau,-77.3431,"On 28 November 2019 on Paradise Island, Nassau, members of the Bahamas Hotel Catering and Allied Workers Union (BHCAWU) protested outside the Atlantis resort over lengthy industrial agreement negotiations. [size=no report]",Caribbean,The Nassau Guardian,National,Peaceful protest,1,1582840375,2019
330,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Port of Spain,,,Military Forces of Trinidad and Tobago (2015-),,Trinidad and Tobago,6969584,2019-11-28,TTQ166,166,Violence against civilians,0,1,3,7,37,780,TTO,10.6667,Port of Spain,-61.5189,"On 28 November 2019 in Saint James, Port of Spain, a soldier was arrested, charged with kidnapping and rape of a child who was rescued by police from his house.",Caribbean,Trinidad and Tobago Guardian,National,Sexual violence,1,1582840377,2019
331,Unidentified Armed Group (Trinidad and Tobago),Unidentified Armed Group (Trinidad and Tobago),Port of Spain,,,,,Trinidad and Tobago,6969615,2019-11-27,TTQ165,165,Battles,0,1,3,3,33,780,TTO,10.6667,Port of Spain,-61.5189,"On 27 November 2019 in Port of Spain, groups of armed men were shooting at each other from rooftop apartments. Five stray bullets entered a classroom at a secondary school, injuring a teacher.",Caribbean,Trinidad and Tobago Guardian,National,Armed clash,1,1582840377,2019
332,Unidentified Armed Group (Haiti),Civilians (Haiti),Artibonite,Dessalines,Petite Riviere de l'Artibonite,,Government of Haiti (2011-),Haiti,6958687,2019-11-27,HTI368,368,Violence against civilians,0,1,3,7,37,332,HTI,19.1555,La Ville,-72.5217,"On 27 November 2019 in Savien, La Ville, Artibonite, an MP representing the Gros-Morne area (former ""Ayiti an Aksyon"" AAA , now independent) was kidnapped by an armed group, together with other people traveling with him in his car. The group kept the car but subsequently released the hostages for a ransom.",Caribbean,Loop News Haiti,National,Abduction/forced disappearance,1,1582840328,2019
333,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Mayaro/Rio Claro,,,,,Trinidad and Tobago,6969574,2019-11-27,TTQ164,164,Violence against civilians,1,1,3,7,37,780,TTO,10.4317,Biche,-61.1390,"On 27 November 2019 in Biche, a man was shot and killed by an unidentified man in his home. He was a state witness in a double murder case and had received death threats.",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1582840377,2019
334,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Trujillo Alto,,,,,Puerto Rico,6945285,2019-11-26,PRT204,204,Violence against civilians,0,1,3,7,37,630,PRI,18.3547,Trujillo Alto,-66.0074,"On 26 November 2019 in Trujillo Alto, a man was shot and seriously injured in a drive-by shooting.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840209,2019
335,Rasta City Gang,Civilians (Trinidad and Tobago),Port of Spain,,,,Muslim Group (Trinidad and Tobago),Trinidad and Tobago,6969610,2019-11-26,TTQ163,163,Violence against civilians,1,1,3,7,37,780,TTO,10.6667,Port of Spain,-61.5189,"On 26 November 2019 in Port of Spain, a man was shot and killed inside a hospital by a man dressed as a crime scene investigator. The man was in hospital with stab wounds after a fight, and had received death threats from Rasta City gang members inside the hospital because he was a Muslim. He had requested to be moved to another location as he feared for his life.",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1582840377,2019
336,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Bayamon,,,,,Puerto Rico,6945340,2019-11-26,PRT203,203,Violence against civilians,1,1,3,7,37,630,PRI,18.3986,Bayamon,-66.1557,"On 26 November 2019 in Bayamon, a man was found dead, with gunshot wounds, hands tied, the body was thrown out of a stolen car. The body carried a sign around the neck with a warning about him being undercover police.",Caribbean,El Vocero de Puerto Rico,National,Attack,2,1582840210,2019
337,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Port of Spain,,,,Government of Trinidad and Tobago (2015-),Trinidad and Tobago,6969563,2019-11-26,TTQ162,162,Explosions/Remote violence,0,1,3,7,37,780,TTO,10.6667,Port of Spain,-61.5189,"On 26 November 2019 in Port of Spain, a bomb went off at the Government Plaza Parkade. Police also found a second explosive device in the building. Government offices and other businesses nearby including the Office of the Attorney General and the Ministry of Education were evacuated and streets closed to traffic.",Caribbean,Trinidad and Tobago Guardian,National,Remote explosive/landmine/IED,1,1582840377,2019
338,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Kingston,,,,,Jamaica,6958823,2019-11-26,JAM138,138,Violence against civilians,1,1,3,7,37,388,JAM,17.9970,Kingston,-76.7936,"On 26 November 2019 in Kingston, two men were shot, one fatally, by unidentified gunmen who attacked them on the street.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
339,Rioters (Haiti),,Nippes,Miragoane,Miragoane,,,Haiti,6985219,2019-11-25,HTI560,560,Riots,0,1,5,0,50,332,HTI,18.3588,Fonds-des-Negres,-73.2411,"On 25 November 2019, in Fonds-des-Negres, demonstrators set barricades as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
340,Rioters (Haiti),,Nippes,Miragoane,Miragoane,,,Haiti,6985220,2019-11-25,HTI561,561,Riots,0,1,5,0,50,332,HTI,18.4423,Miragoane,-73.0876,"On 25 November 2019, in Miragoane, demonstrators set barricades as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
341,Rioters (Haiti),,Centre,Mirebalais,Mirebalais,,,Haiti,6985221,2019-11-25,HTI562,562,Riots,0,1,5,0,50,332,HTI,18.8346,Mirebalais,-72.1048,"On 25 November 2019, in Mirebalais, demonstrators set barricades as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
342,Protesters (Guadeloupe),,Pointe-a-Pitre,Les Abymes,,Students (Guadeloupe); Women (Guadeloupe),,Guadeloupe,6946569,2019-11-25,GLP8,8,Protests,0,1,6,0,60,312,GLP,16.2730,Les Abymes,-61.5051,"On 25 November 2019 in Abymes, students marched protesting against violence against women. [size=no report]",Caribbean,France Info,International,Peaceful protest,1,1582840214,2019
343,Rioters (Haiti),,Nippes,Miragoane,Miragoane,,,Haiti,6985231,2019-11-25,HTI559,559,Riots,0,1,5,0,50,332,HTI,18.4128,Chalon,-73.0882,"On 25 November 2019, in Chalon, demonstrators set barricades as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
344,Rioters (Haiti),,Ouest,Port-au-Prince,Tabarre,,,Haiti,6985232,2019-11-25,HTI564,564,Riots,0,1,5,0,50,332,HTI,18.5833,Tabarre,-72.2667,"On 25 November 2019, in Port-au-Prince, demonstrators set barricades in Tabarre 27 of the city as part of anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
345,Rioters (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6985235,2019-11-25,HTI563,563,Riots,0,1,5,7,57,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 25 November 2019, in Port-au-Prince, demonstrators set barricades in several area of the city as part of anti-government demonstrations. In Cabaret, demonstrators were throwing rocks at passers-by, while on the road to the airport, burning tires were reported. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
346,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Petion-Ville,,Women (Haiti); LGBT (Haiti),Haiti,6926158,2019-11-25,HTI367,367,Violence against civilians,1,1,3,7,37,332,HTI,18.5125,Petion-Ville,-72.2853,"On 25 November 2019, in Petion-Ville, Ouest, a leading LGBT activist was found dead at his home. Allegedly, the victim died of poisoning or strangulation.",Caribbean,Reuters; ProtectDefenders.eu,Local partner-Other,Attack,2,1582839778,2019
347,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,PRM: Modern Revolutionary Party; PLD: Dominican Liberation Party; Country Alliance,,Dominican Republic,6939821,2019-11-25,DOM39,39,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 25 November 2019 in Santo Domingo, tens of thousands of protesters participated in the March of the Butterflies against violence against women, including representatives from parties Revolucionario Moderno, Liberacion Dominicana and Alianza Pais. [size=tens of thousands]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839947,2019
348,Protesters (Cuba),,Santiago de Cuba,Santiago de Cuba,,,,Cuba,6934221,2019-11-25,CUB23,23,Protests,0,1,6,0,60,192,CUB,20.0208,Santiago de Cuba,-75.8267,"On 25 November 2019 in Santiago de Cuba, the wife and three children of a detained opposition leader protested outside the prison, demanding to visit the UNPACU leader who has been detained for 55 days. [size=4]",Caribbean,CubaNet,National,Peaceful protest,1,1582839804,2019
349,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,Catholic Christian Group (Dominican Republic),,Dominican Republic,6939855,2019-11-25,DOM40,40,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 25 November 2019 in Santo Domingo, thousands of Catholics protested in support of the Dominican family in an event organized by the archbishop called _ step for my family_ [size=thousands]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2019
350,Protesters (Jamaica),,Kingston,,,Women (Jamaica),,Jamaica,6958804,2019-11-25,JAM137,137,Protests,0,1,6,0,60,388,JAM,17.9970,Kingston,-76.7936,"On 25 November 2019 in Kingston, over 300 protesters took the streets to recognize International Day for the Elimination of Violence Against Women in collaboration with the Jamaica AIDS Support for Life (JASL) annual silent protest. [size=over 300]",Caribbean,Loop News Jamaica,National,Peaceful protest,1,1582840329,2019
351,Rioters (Haiti),Police Forces of Haiti (2011-),Nippes,Miragoane,Miragoane,,,Haiti,6985230,2019-11-24,HTI558,558,Riots,0,1,5,1,15,332,HTI,18.4128,Chalon,-73.0882,"On 24 November 2019, in Chalon, two people were shot and injured by police officers during anti-government demonstrations. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1583951163,2019
352,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint Mary,,,,,Jamaica,6958884,2019-11-24,JAM135,135,Violence against civilians,1,1,3,7,37,388,JAM,18.4047,Boscobel,-76.9799,"On 24 November 2019 in Mango Valley, outside Boscobel, St Mary, a man and a woman travelling in a car were ambushed by a group of armed men who opened fire on them, killing the man and injuring the woman.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
353,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint Thomas,,,,Former Police Forces of Jamaica (2016-),Jamaica,6958761,2019-11-24,JAM136,136,Violence against civilians,1,1,3,7,37,388,JAM,17.8779,Yallahs,-76.5602,"On 24 November 2019 in Albion, next to Yallahs, St Thomas, a former policeman was shot and killed in his home.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
354,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Couva-Tabaquite-Talparo,,,,,Trinidad and Tobago,6962613,2019-11-24,TTQ161,161,Violence against civilians,1,1,3,7,37,780,TTO,10.3664,Claxton Bay,-61.4599,"On 24 November 2019 in Claxton Bay, a man was found dead in the driver_ seat of a car, shot to the head. He was a state witness in an attempted-murder case in which three men were committed to stand trial earlier this month.",Caribbean,Newsday Trinidad and Tobago,National,Attack,2,1582840340,2019
